PublisherID,BookID,Publisher Name,Publication Date,Location
default,310186NR,default,default,default
default,310155BM,default,default,default
default,310197BK,default,default,default
default,310159VH,default,default,default
default,310130SY,default,default,default
default,310136MX,default,default,default
default,310186MG,default,default,default
default,310126ZZ,default,default,default
default,310175TU,default,default,default
default,310117KS,default,default,default
default,310156ZO,default,default,default
default,310195OS,default,default,default
